one,一,eins,
method,法,Methode,
until,至,bis,
room,室,Zimmer,
arrive,到,ankommen,
mutual,互,gegenseitig,
sufficient,充,ausreichend,hinreichend
education,育,Aufzucht,
flow (v.),流,fließen,
comb (n.),梳,Kamm,
mountain,山,Berg,
exit (v.),出,hinausgehen,hinaus-
beat (v.),擊,zuschlagen,schlagen
secret (adj.),密,geheim,
enter,入,hineingehen,hinein-
internal,內,innen,
holler (v.),吶,laut rufen,schreien
part (n./v.),分,Teil,
impoverished,貧,arm,
public (adj.),公,öffentlich,
pine tree,松,Kiefernbaum,
valley,谷,Tal,
bathe,浴,baden,
desire (v.),欲,begehren,
lust (n.),慾,Lust,
contain,容,enthalten,
dissolve,溶,sich auflösen,
work as,當,tätig sein als,
files (n.),檔,Akte,
political party,黨,Partei,
often,常,oft,
main room,堂,Saal,
covering (n.),皮,Umhüllung,
waves,波,Welle,
old woman,婆,alte Frau,
break (v.),破,kaputt machen,
quilt (n.),被,Steppdecke,
malicious,歹,bösartig,
line up,列,eine Aufstellung machen,aufreihen
intense,烈,heftig,intensiv
death,死,Tod,
inter (v.),葬,beerdigen,
ear,耳,Ohr,
take,取,holen,nehmen
interest,趣,Interesse,
most (adv.),最,am meisten,
job,職,Job,
holy,聖,heilig,
brave (adj.),敢,wagen,
strict,嚴,strikt,
drawn out,曼,langgezogen,ausgedehnt
slow (adj.),慢,langsam,
overflow (v.),漫,überlaufen,überfließen
ring (n.),環,Ring,
give back,還,zurückgeben,
husband,夫,Ehemann,
regulations,規,Gepflogenheit,Vorschrift
replace,替,ersetzen,an die Stelle treten von
lose,失,verlieren,
feudal official,臣,Feudalbeamter,
be about to,臨,kurz davor sein,
worthy,賢,würdig,verdienstvoll
firm (adj.),堅,standhaft,
power,力,Kraft,
another,另,anderer,
don‘t,別,nicht …!,
turn (v.),拐,abbiegen,
male (n.),男,Mann,
achievement,功,Errungenschaft,Leistung
slave (n.),奴,Sklave,
toil (v.),努,sich anstrengen,
add,加,addieren,hinzufügen
congratulate,賀,gratulieren,
shelf (n.),架,Regal,
cooperate,協,kooperieren,
line of business,行,Branche,
law,律,Gesetz,
recover,復,wiederherstellen,wiedererlangen
must (aux. v.),得,müssen,
treat (v.),待,(jmd. auf eine bestimmte Art) behandeln,
toward,往,gen,
tiny,微,winzig,
street,街,Straße,
morality,德,Moral,
listen,聽,zuhören,
hall,廳,Halle,
standing grain,禾,Reispflanze,
journey (n.),程,Reise,
harmony,和,Harmonie,
shift (v.),移,verlagern,
autumn,秋,Herbst,
gloomy,愁,betrübt,
profit (n.),利,Profit,
perfume (n.),香,Parfüm,
seasons (n.),季,Jahreszeit,
committee,委,Komitee,
elegant,秀,elegant,
penetrate,透,durchdringen,
entice,誘,verführen,
experience (n./v.),歷,etwas erleben,erleben
rice,米,Reis,
lost,迷,verirrt,
riddle,謎,Rätsel,
kind (n.),類,Gattung,Art
bamboo,竹,Bambus,
laugh (v.),笑,lachen,
box (n.),箱,Kiste,Kasten
pen,筆,Schreibstift,
etc.,等,usw.,
calculate,算,rechnen,
answer (v.),答,antworten,
strategy,策,Taktik,
person,人,Mensch,
prisoner,囚,Häftling,
portion,份,Portion,
occupy,佔,besetzen,
furniture,傢,Möbel,
you,你,du,
you (respectful),您,Sie,
what?,什,was?,
strip (n.),條,Streifen,
value (n.),值,Wert,
make,做,machen,
however,但,aber,
dwell,住,wohnen,
position (n.),位,Position,Stelle
piece,件,Stück,
still (adv.),仍,noch,
he,他,er,
rest (v.),休,sich ausruhen,ruhen
faith,信,Vertrauen,Glaube
depend on,依,abhängig sein,
example,例,Beispiel,
individual,個,einzelner,
healthy,健,gesund,
halt (v.),停,anhalten,
upside down,倒,verkehrt herum,umdrehen
benevolence,仁,Mitmenschlichkeit,
excellent,優,vorzüglich,exzellent
wound (n.),傷,Wunde,
safeguard (v.),保,sichern,gewährleisten
fort,堡,Burg,
pay (v.),付,bezahlen,
government office,府,Regierungssitz,
bow one‘s head,俯,den Kopf neigen,
substitute for,代,vertreten,ersetzen
bag (n.),袋,Beutel,
transform,化,umwandeln,
flower (n.),花,Blume,
commodities,貨,Artikel,Güter
whatwhichwhowherewhy?,何,waswelcherwerwowarum?,
convenient,便,bequem,
100 Chinese inches,丈,100 chinesische Zoll,
use (v.),使,benutzen,verwenden
long time,久,lange Zeit,
Chinese acre,畝,chinesischer Morgen,
third,丙,drittes,
handle (n.),柄,Griff,
meat,肉,Fleisch,
rotten,腐,faulig,
multitude,眾,Menschenmasse,
sit,坐,sitzen,
seat (n.),座,Sitz,
examine,檢,untersuchen,kontrollieren
face (n.),臉,Gesicht,
come,來,kommen,
wheat,麥,Weizen,
drink (v.),喝,trinken,
thirsty,渴,durstig,
appoint,任,ernennen,
royal court,廷,Königshof,
court of law,庭,Gerichtshof,
by means of,以,mittels,
similar,似,anscheinend,
combine (v.),併,kombinieren,
piece together,拼,zusammenfügen,
spine,呂,Rückgrat,
associate (n.),侶,Kamerad,
glory (n.),榮,Ruhm,
labor (n.),勞,Maloche,
camp,營,Feldlager,
virtuous,善,gut im moralischen Sinn,
year,年,Jahr,
night,夜,Nacht,
liquid,液,Flüssigkeit,
call out (v.),喚,laut rufen,herbeirufen
exchange (v.),換,austauschen,wechseln
travel (v.),旅,reisen,
execute,施,ausführen,anwenden
go swimming,游,kraulen,planschen
tour (v.),遊,eine Tour machen,
not,勿,nicht,
suddenly,忽,plötzlich,
thing,物,Ding,
easy,易,leicht,mühelos
grant (v.),賜,gewähren,
corpse,屍,Leiche,
nun,尼,buddhistische Nonne,
woolen cloth,呢,Wollstoff,
mud,泥,Schlamm,
habitation,屋,Haus,
grip (v.),握,fest in der Hand halten,umfassen
reside,居,seinen Wohnsitz haben in,residieren
saw (n.),鋸,Säge,
story,層,Stockwerk,
bureau,局,Amt,
door,戶,Tür,
domicile,房,Wohnung,
hire (v.),雇,jn einstellen,anstellen
look back,顧,sich herumdrehen und schauen,sich umsehen
show (v.),示,zeigen,
society,社,Gesellschaft,
inspect,視,betrachten,
happiness,福,Glückseligkeit,
prohibit,禁,verbieten,Tabu
front of a garment,襟,Vorderteil eines Kleidungsstücks,Revers
religion,宗,Religion,
worship (v.),崇,hoch,aufragend
offer sacrifice,祭,opfern,
scrutinize,察,besichtigen,inspizieren
scrub,擦,schrubben,
wherefore (n.),由,Veranlassung,Grund
take out,抽,herausziehen,herausnehmen
oil,油,Öl,
first,甲,das erste,erster
pawn (v.),押,verpfänden,
express (v.),申,darlegen,
extend,伸,strecken,dehnen
gods,神,Gott,
fruit,果,Frucht,
lesson,課,Lektion,
granule,顆,Kügelchen,Körnchen
catty (n.),斤,Kätti,
place (n.),所,Stelle,
near,近,nah,
hew,斬,abhacken,
temporary,暫,zeitweilig,vorübergehend
gradually,漸,allmählich,
quality (n.),質,Qualität,
reprimand (v.),斥,tadeln,
accuse,訴,anklagen,
for the first time,乍,zum ersten Mal,
how?,怎,wie?,
yesterday,昨,gestern,
do,作,tun,machen
snow (n.),雪,Schnee,
anxious,急,es eilig haben,ungeduldig
seek,尋,suchen,
married woman,婦,verheiratete Frau,
sweep,掃,fegen,
record (v.),錄,aufzeichnen,
commonplace (adj.),碌,gewöhnlich,mittelmäßig
contend,爭,streiten,auseinandersetzen
clean (adj.),淨,sauber,
matter,事,Sache,
Tang,唐,Tang,
sugar,糖,Zucker,
hale (adj.),康,Gesundheit,Wohlbefinden
overseer,尹,Obervorsteher,Ortsvorsteher (in der alten Zeit)
Queen Elisabeth,伊,Queen Elisabeth,
monarch,君,Monarch,
skirt (n.),裙,Rock,
crowd (n.),群,Meute,
and,而,und,
need (v.),需,brauchen,bedürfen
Confucian,儒,konfuzianisch,
auspicious,瑞,Gutes verheißend,glückbringend
upright,端,Anfang/Ende,
bent,曲,krumm,
Big Dipper,斗,Großer Wagen,
material (n.),料,Material,
academic discipline,科,wissenschaftliche Disziplin,
utilize,用,gebrauchen,
times past,昔,Vergangenheit,
borrow,借,leihen,
mistaken,錯,irrtümlich,
scattered,散,verstreut,
scatter,撒,streuen,
prepare,備,vorbereiten,
twenty,廿,zwanzig,
mat,席,Matte,
degrees,度,Grad,
ferry (n./v.),渡,Fähre,
half (n./adj.),半,Hälfte,
partner,伴,Partner,
fat (adj.),胖,fett,beleibt
judge (v.),判,urteilen,
dependents,眷,Angehöriger,
boxing (n.),拳,Boxen,
victory,勝,Sieg,
slice (n.),片,Scheibe,
printing plate,版,Druckplatte,
put on makeup,妝,schminken,
robust,壯,robust,
hamlet,莊,Dörfchen,
attire (n.),裝,Tracht,
General,將,General,
of,之,von,des
weary,乏,erschöpft,Mangel an Energie
blink (v.),眨,blinzeln,
no,不,nein,
negate,否,negieren,
cup,杯,Tasse,
dart (n.),矢,Pfeil,
tribe,族,ethnische Gruppe,
know,知,wissen,
wisdom,智,Weisheit,
spear (n.),矛,Speer,
gentle,柔,sanft,
knead,揉,kneten,
tasks,務,Angelegenheit,Aufgabe?
fog,霧,Nebel,
bestow,予,jm etw. zukommen lassen,jm etw. verleihen
preface (n.),序,Vorwort,
beforehand,預,im voraus,
wild (adj.),野,wild,
class (n.),班,Klasse,
bow (n.),弓,Bogen,
draw (v.),引,anspannen,
strong,強,stark,
weak,弱,schwach,
bullet,彈,Geschoss,
Buddha,佛,Buddha,
expense,費,Kosten,
younger brother,弟,jüngerer Bruder,
No.,第,Nr.,
adroit,巧,gewandt,
somebody,身,Leib,
shoot (v.),射,schießen,
thank,謝,danken,
old man,老,alter Mann,
take an exam,考,eine Prüfung ablegen,
roast (v.),烤,rösten,
filial piety,孝,Kindespflicht,
teach,教,lehren,
someone,者,jemand,jemand mit einer Eigenschaft
-ing,著,-nd,
pig,豬,Schwein,
chase,追,verfolgen,jm nacheilen
commander,帥,Oberbefehlshaber,
teacher,師,Lehrer,
lion,獅,Löwe,
bureaucrat,官,Bürokrat,
pipe,管,Rohr,
father,父,Vater,
mingle,交,Umgang pflegen mit,
effect (n.),效,Effekt,
relatively,較,relativ,
school (n.),校,Schule,
lower leg,足,Unterschenkel,
run (v.),跑,rennen,
jump (v.),跳,springen,
path,路,Pfad,
dew,露,Tau,
skeleton,骨,Skelett,
slippery,滑,rutschig,
cross (v.),過,überqueren,
Apollo,阿,Apollo,
aah!,啊,Ach!,
occasion,際,Gelegenheit,Anlass
perilous,險,Risiko,
as you wish,隨,nach Belieben,
Yang,陽,Yang,
exhibit (v.),陳,ausstellen,
ward off,防,vorbeugen,abwehren
attach,附,beifügen,
Inst.,院,Inst.,
battle formation,陣,Schlachtordnung,
team,隊,Mannschaft,
descend,降,herabkommen,
stairs,階,Treppe,
hole,穴,Loch,
research (v.),究,erforschen,
abruptly,突,unvermittelt,
empty,空,leer,
