KEYWORD	TRANSLATION_01	TRANSLATION_02	TRANSLATION_03	TRANSLATION_04	TRANSLATION_05	TRANSLATION_06	TRANSLATION_07	TRANSLATION_08	TRANSLATION_09	TRANSLATION_10	TRADITIONAL	SIMPLIFIED	
offshoot	Abzweigung	Ableger	Zweig	Seitenlinie									
skill	Können	Fertigkeit	Kunstfertigkeit	Fähigkeit									
branch	Ast	Zweig											
uncle	Onkel												
superintend	überwachen	beaufsichtigen	kontrollieren										
lonely	still	ruhig	einsam	verlassen									
against	gegen	anti-	gegen etw. sein										
plank	Brett	Platte	Planke										
go back	zurückkommen	zurückkehren	zurück										
faction	Gruppe	Fraktion	Schule										
blood vessels	Ader	Blutgefäß	Puls	Pulsschlag									
claw (n.)	Kralle	Klaue	Pfote	Tatze									
grab	packen	ergreifen	fassen	grapschen									
pluck (v.)	Aussehen	Miene	Gesichtsausdruck										
pick (v.)	pflücken	abnehmen	zusammenlesen	auswählen	anwenden	verwenden							
vegetable	Gemüse	Gericht	Gang	Speise									
accept	entgegennehmen	annehmen	erhalten	bekommen	erleiden	ertragen	dulden	aushalten					
confer	überreichen	verleihen	geben	lehren	unterrichten	vermitteln	jm. etw. beibringen						
love (n./v.)	Liebe												
grand	männlich	grandios	gigantisch	imposant									
platform	Plattform	Terrasse	Bühne	Podest	erhöhter Platz								
govern	regieren	verwalten	regeln	regulieren	etw. in Ordnung bringen								
commence	beginnen	Anfang	am Anfang	anfangen									
go	gehen												
method	Methode												
until	bis	nach	bis zu										
room	Raum	Zimmer											
arrive	ankommen	gelangen	eintreffen										
mutual	einander	gegenseitig	wechselseitig										
sufficient	ausreichend	reichlich	voll										
education	erziehen	Erziehung	pflegen	großziehen	züchten	aufziehen							
flow (v.)	fließen	strömen	sich vom Wasser treiben lassen										
comb (n.)	Kamm	kämmen											
mountain	Berg												
exit (v.)	hinausgehen	herauskommen	verlassen										
beat (v.)	schlagen	einen Schlag versetzen	einen Stoß austeilen	zuschlagen	angreifen	überfallen							
secret (adj.)	geheim	diskret	vertraulich	intim	innig	vertraut	dicht	eng					
enter	hineingehen	eintreten	hereinkommen										
internal	innen	innerhalb											
holler (v.)	laut rufen	schreien	Kampfruf										
part (n./v.)	Teil	Bestandteil	teilen	Minute									
impoverished	arm	unbemittelt	schwatzhaft	geschwätzig									
public (adj.)	öffentlich	staatlich	gemeinschaftlich	metrisch									
pine tree	Kiefer												
valley	Tal												
bathe	baden	Bad											
desire (v.)	mögen	wollen	wünschen	begehren									
lust (n.)	Begierde	Lust	Wunsch	Verlangen	Trieb								
contain	enthalten	fassen											
dissolve	sich auflösen	sich lösen in											
work as	als … tätig sein	ebenbürtig	entsprechend	gerade als	als … fungieren								
files (n.)	Akte	Aktenschrank	Archiv										
political party	Partei	politische Partei											
often	oft	häufig											
main room	Halle	Saal	Hauptraum										
covering (n.)	Haut	Schale	Hülle	Leder									
waves	Welle												
old woman	alte Frau	Schwiegermutter	in bestimmten Berufen tätige Frau										
break (v.)	zerschlagen	beschädigen	kaputt machen										
quilt (n.)	Bettdecke	Steppdecke	Oberbett										
malicious	schlecht	übel	gemein	schurkisch	böse								
line up	aufreihen	Reihe											
intense	heftig	brennend	intensiv										
death	sterben	bis zum Tod	Tod										
inter (v.)	bestatten	beerdigen	begraben										
ear	Ohr												
take	holen	abholen	nehmen	bekommen									
interest	Interesse	Vergnügen	interessant	Vorliebe									
most (adv.)	am …sten	meist											
job	Beruf	Arbeit	Pflichten	Stelle	Amt	Posten							
holy	heilig	Heiliger	Weiser										
brave (adj.)	wagen	sich trauen	mutig	kühn	tapfer								
strict	streng	strikt											
drawn out	anmutig	entzückend	mild	lang	weit	groß	ausgedehnt						
slow (adj.)	langsam												
overflow (v.)	überfließen	überlaufen	überschwappen										
ring (n.)	Ring	Reif											
give back	noch	zurückgeben	zurückkommen	zurückkehren									
husband	Ehemann	Gatte											
regulations	Gepflogenheit	Regel	Vorschrift	Satzung	Zirkel								
replace	ersetzen	an js Stelle treten	in js Namen	um js willen									
